lesehan basi tamu |121.9469|0.4601
kedai ayu |119.8877|-4.3548
program studi psikologi fip minahasa sulawesi utara|124.8839|1.2722
unika de lasallemanado|124.8727|1.5042
dapoer sulawesi cafe n coffee shop |119.4052|-5.1363
ruang ti 101 teknologi informasi  fakultas teknik|115.1765|-8.7963
hop 4 |117.4628|0.1355
warkop bwk 87 |120.2545|-5.1196
bandara ngurahrai bali |115.1926|-8.7014
electrical engineering unud jimbaran indonesia |115.1771|-8.7961
class room ii2a |124.8659|1.5041
house of suanda kuta bali |115.1830|-8.6169
sma negeri 7 manado  sman7mdo|124.8545|1.4600
steam drum 1 sanggau |110.5560|0.0302
angkringan denpasar bali |115.2165|-8.6759
gmim maranatha paslaten tomohon sulawesi utara |124.8427|1.3233
pantai sindhu |115.2608|-8.6537
ngurah rai international airport dps  baliairport|115.1667|-8.7446
kuta sari house |115.1755|-8.7233
kantor gubernur sultra kendari sulawesi tenggara|122.5396|-4.0257
kel pangalila  salea residence  angelcameliaa |124.8348|1.3639
kantin atas |110.5540|0.0315
go  ganeshaoperation gianyar bali pic |115.3219|-8.5414
grand clarion hotel  convention makassar |119.4329|-5.1679
gedung kuliah a fmipa|115.0876|-8.1165
cv mega bangun sakti banjarbaru kalimantan selatan |114.8493|-3.4775
masjid baitul ilmi sman 11 makassar makassar sulawesi selatan indonesia |119.4162|-5.1714
fakultas hukum  fhunsrat manado sulawesi utara|124.8276|1.4605
pantai tanjung bira|120.4575|-5.6152
gkii jemaat sungai yordan |115.1926|-8.6455
gor kebo iwa gianyar gianyar bali |115.3222|-8.5427
panji rifqis house banjarbaru indonesia |114.7440|-3.4515
angkling rock city |115.3252|-8.5363
rsud abdul wahab sjahranie samarinda kalimantan timur|117.1445|-0.4790
stmik dipanegara makassar makassar sulawesi selatan|119.4832|-5.1403
xl center manado sulawesi utara |124.8360|1.4849
puncak modoinding |124.4503|0.7942
international business administration iba  fekonunsrat manado sulawesi utara|124.8267|1.4592
sma negeri 1 manado  sman1mdo|124.8382|1.4645
depot prasmanan noni |114.6082|-3.3353
woobar badung bali|115.1491|-8.6782
wina letter tabanan printing |115.1142|-8.5441
pasar ikan kedonganan |115.1685|-8.7574
ruang operator cinema xxi beachwalk badung |115.1702|-8.7162
quantum sarana medik|115.2149|-8.6797
tiras room |115.2660|-8.4799
poli mata rsup sanglah |115.1786|-8.6752
auditorium unsrat|124.8291|1.4583
stie widya dharma |109.3346|-0.0290
tpas tamangapa |119.4889|-5.1761
junitas room |115.2067|-8.7164
kus banggeris unmul samarinda |117.1232|-0.4944
polda sulawesi utara manado sulawesi utar|124.8334|1.4645
pt aj inhealth denpasar denpasar |115.2285|-8.6753
hard rock hotel bali  hardrockhtlbali badung bali|115.1709|-8.7214
bpd gajah mada denpasar bali |115.2157|-8.6557
bank sulsel capem siwa pitumpanua south sulawesi |120.4161|-3.7016
pt sumber cipta multiniaga pt djarum group watone indonesia |120.3409|-4.5397
the zuk hotel kuta httptconqgem4fqqe |115.1744|-8.7124
violand garden hotel samarinda kalimantan timur |117.1693|-0.4704
radio diahrosanti |109.3325|-0.0236
bankaltim kcp segiri samarinda kalimantan timur |117.1486|-0.4836
padmagraha apartement kuta kuta bali |115.1772|-8.7236
mahligai pancasila|114.5892|-3.3181
bengkel kabaena  yaurylie wajobaru south sulawesi |119.4121|-5.1290
jl lumimuut |124.8469|1.4832
pa 201 stp bali badung |115.1922|-8.8129
dinas kesehatan halmahera utara |127.9941|1.7357
soto br jabapura |115.1856|-8.6745
tsm xxi  cinema21|119.3941|-5.1598
home |124.8679|1.4831
zumba fitness at alexa studio manado sulawesi utara |124.8395|1.4644
mnc finance cab makassar |119.4225|-5.1366
jurusan analis kesehatan poltekkes kemenkes kaltim samarinda kalimantan timur |117.1437|-0.4845
hostel world the eco living denpasar kuta |115.1861|-8.7005
ilmu kesehatan masyarakat fik  ikmunima minahasa sulawesi utara |124.8785|1.2704
fakultas sastra dan budaya |115.2139|-8.6757
sellas home |128.2480|-3.6307
kus gizi poltekkes kemenkes makassar|119.5177|-5.1129
jalan halimun bukit baruga makassar sulawesi selatan |119.4877|-5.1550
rijang baking rumah kayu hasanuddin lohe |119.8294|-3.8392
biawax grind house |115.3015|-8.5480
plasa telkom|115.2142|-8.6694
hakri dahiu sweet room pic |124.8480|1.4995
grapari telkomsel pic |113.9156|-2.2053
jalan 14 februari manado sulawesi utara|124.8430|1.4783
fakultas mipa universitas tanjungpura |109.3452|-0.0582
sman 8 denpasar denpasar bali|115.2231|-8.5984
everfresh mall panakukkang |119.4454|-5.1573
fakultas teknik universitas warmadewa |115.2424|-8.6583
fakultas teknik universitas pattimura |128.1940|-3.6541
the coffee bean  tea leaf|119.5473|-5.0768
marabahan  barito kuala marabahan south borneo kalima|114.7414|-2.9828
christys private room |124.8459|1.3238
kantor pelayanan kekayaan negara  lelang kpknl manado manado sulawesi utara |124.8381|1.4628
my home |117.1324|-0.5142
karombasan |124.8377|1.4566
ace hardware makassar sulawesi selatan |119.4480|-5.1582
mal bali galeria|115.1842|-8.7234
fakultas ekonomi universitas tadulako|119.8967|-0.8317
aula stikes muhammadiyah banjarmasin |114.5902|-3.3082
kantor pajak pratama banjarmasin |114.5927|-3.3254
gedung teknik elektro politeknik negeri bali|115.1626|-8.8013
pamsimas office |114.3905|-3.0142
kompleks asrama militer kesdam ix  udayana |115.1852|-8.6371
rsup prof dr r d kandou manado sulawesi utara|124.8074|1.4546
kedai malindo |119.4223|-5.1632
jurusan akuntansi pnup makassar sulawesiselatan |119.4824|-5.1298
tam service center samarinda|117.1566|-0.4977
pesandekan tresna dwipayana bunda homes |115.1863|-8.6006
gedung serba guna  kec sungai kunyit httptcomfu6cfmpl1 |108.9126|0.5156
rumah makan taliwang bersaudara badung bali|115.1812|-8.7149
kwanji dalung kuta kuta bali |115.1795|-8.6163
rektorat universitas udayana|115.1724|-8.7984
telkomsel jayapura |140.7066|-2.5427
daimaru |119.4190|-5.1304
pt oto multiartha kredit mobil |123.0484|0.5623
rumah makan padang  ambun pagi |114.7448|-3.4368
jw restaurant  bar manado sulawesi utara |124.8307|1.4727
rm muda mudi |119.4217|-5.1508
tinutuan as ba manado north sulawesi |124.8320|1.4715
nasi babi guling dodo |115.2158|-8.6515
rs dirgahayu samarinda kalimantan timur |117.1367|-0.4988
ngurah rai international airport denpasar  bali |115.1621|-8.7455
jurusan pendidikan guru paud unima |124.8462|1.3127
process plan bakan north sulawesi |124.2977|0.5988
smp negeri 5 samarinda |117.1291|-0.4791
nasi kuning riburane makassar sulawesi selatan|119.4060|-5.1320
puskesmas kung dalam pic |109.3508|-0.0278
ud wika karya  cabang tegal saat  wikaantara |115.1696|-8.5842
bpkad bidang akuntansi provinsi sulteng |119.8870|-0.9238
btn tae blok e9 |120.0261|-4.1091
kawasan megamasmanado manado sulawesi utara|124.8343|1.4824
uptd panakukang pic |119.4680|-5.1756
bsm cabang pontianak |109.3528|-0.0380
purimas 3 cake  bakery |115.1986|-8.6812
kedai mug samarinda kalimantan timur |117.1370|-0.4759
xi nursing b  smk kesehatan gloria  |124.8378|1.4904
plant site  pt vale indonesia tbk|121.3803|-2.5666
nasi cur pak suud klungkung bali |115.4043|-8.5347
holliday inn resort badung |115.1689|-8.7324
lapangan merdeka |116.8139|-1.2797
movie world center |115.2079|-8.6739
dinas kesehatan kota balikpapan |116.8441|-1.2765
pasar bua |120.2351|-3.0643
kuta central park hotel kuta bali|115.1790|-8.7110
smti pontianak |109.3275|-0.0449
toko agung|119.4164|-5.1537
bakudapa |115.1630|-8.6901
tanjung benoa beach|115.2232|-8.7611
may loa home  cherlyverlina ambon maluku |128.1953|-3.6740
roti canai bunana|115.1657|-8.6822
pop steak gunung pasir |116.8339|-1.2696
abi |124.8315|1.3525
mtsn model makassar makassar sulawesi selatan|119.4312|-5.1728
graha lestari makassar |119.4677|-5.1765
smk kesehatan gloria manado |124.8373|1.4885
pegadaian mamuju |118.8827|-2.6798
dcost vip denpasar bali |115.1813|-8.7042
sunachi |119.4324|-5.1688
cafetaria stp nusa dua bali |115.1915|-8.8128
calais artisan bubble tea  coffee  calaistea|115.1694|-8.7165
adaro site tanjung tabalong  south borneo |115.4574|-2.2319
smk negeri 3 balikpapan balikpapan indonesia|116.8855|-1.2396
mie ayam pangsit surabaya denpasar bali |115.2177|-8.6745
gereja katolik st yosep pemangkat kalimantan barat |108.9760|1.1757
honda cv nasional motor paal2 wenang north sulawesi |124.8612|1.4881
martabak  terang bulan paris |116.8585|-1.2445
manado town square mantos manado sulawesi utara |124.8318|1.4722
jimbaran beach cafe badung bali |115.1688|-8.7701
rumah dinas bea cukai sesetan denpasar bali |115.2186|-8.6852
imc neurologi |124.8076|1.4537
sman 5 denpasar denpasar bali|115.2288|-8.7041
maitri jaya cellular |119.4130|-5.1324
anjungan sekolah harapan denpasar indonesia |115.2151|-8.6832
dinas sosial dan tenaga kerja kab badung |115.1628|-8.2718
pemandian goa kontamale |123.5350|-5.3158
neoderma skin care |128.2009|-3.6806
fakultas ekonomi universitas tanjungpura |109.3433|-0.0618
kuta beach |115.1697|-8.7227
pn kendari |122.5470|-3.9641
